NombreProducto,DescripcionProducto,CostoProducto,DisponibilidadProducto,TonosProducto,DimensionesProducto,TipoProducto,ImagenPrincipalProducto,ImagenesProducto
Bolso de Mano,"Bolso de cuero elegante y espacioso",79.99,50,"Marrón,Negro","Única","Accesorios","bolso_mano.jpg","bolso_mano_1.jpg,bolso_mano_2.jpg"
Gorra Deportiva,"Gorra ajustable para deportes al aire libre",15.99,300,"Negro,Blanco,Azul","Única","Accesorios","gorra_deportiva.jpg","gorra_deportiva_1.jpg,gorra_deportiva_2.jpg"
Bufanda de Lana,"Bufanda cálida de lana, ideal para el invierno",29.99,150,"Rojo,Gris,Azul","Única","Accesorios","bufanda_lana.jpg","bufanda_lana_1.jpg,bufanda_lana_2.jpg"
Reloj Deportivo,"Reloj resistente al agua con cronómetro",49.99,120,"Negro,Azul,Verde","Única","Accesorios","reloj_deportivo.jpg","reloj_deportivo_1.jpg,reloj_deportivo_2.jpg"
Cinturón de Cuero,"Cinturón de cuero genuino con hebilla metálica",24.99,200,"Negro,Marrón","S,M,L","Accesorios","cinturon_cuero.jpg","cinturon_cuero_1.jpg,cinturon_cuero_2.jpg"
Gafas de Sol,"Gafas de sol polarizadas con protección UV",39.99,100,"Negro,Marrón","Única","Accesorios","gafas_sol.jpg","gafas_sol_1.jpg,gafas_sol_2.jpg"
Camiseta Básica,"Camiseta de algodón 100%, suave y cómoda",19.99,150,"Rojo,Azul,Verde","S,M,L,XL","Camisetas","camiseta_basica.jpg","camiseta_basica_1.jpg,camiseta_basica_2.jpg"
Pantalones Vaqueros,"Pantalones de mezclilla con ajuste cómodo",39.99,200,"Azul Oscuro,Negro","32,34,36,38","Pantalones","pantalones_vaqueros.jpg","pantalones_vaqueros_1.jpg,pantalones_vaqueros_2.jpg"
Vestido de Verano,"Vestido ligero y fresco para el verano",29.99,100,"Amarillo,Rosa,Blanco","S,M,L","Vestidos","vestido_verano.jpg","vestido_verano_1.jpg,vestido_verano_2.jpg"
Abrigo de Invierno,"Abrigo cálido y elegante para el invierno",99.99,80,"Negro,Gris,Azul Marino","M,L,XL","Abrigos","abrigo_invierno.jpg","abrigo_invierno_1.jpg,abrigo_invierno_2.jpg"
Camisa Formal,"Camisa de vestir de alta calidad para ocasiones formales",45.99,150,"Blanco,Celeste,Negro","S,M,L,XL","Camisas","camisa_formal.jpg","camisa_formal_1.jpg,camisa_formal_2.jpg"
Pantalones Chinos,"Pantalones chinos elegantes y cómodos",49.99,100,"Beige,Negro,Azul","30,32,34,36","Pantalones","pantalones_chinos.jpg","pantalones_chinos_1.jpg,pantalones_chinos_2.jpg"
Sudadera con Capucha,"Sudadera cómoda con capucha para uso diario",29.99,120,"Gris,Negro,Rojo","S,M,L,XL","Ropa","sudadera_capucha.jpg","sudadera_capucha_1.jpg,sudadera_capucha_2.jpg"
Falda de Verano,"Falda ligera y fresca para días cálidos",24.99,90,"Blanco,Azul,Rosa","S,M,L","Ropa","falda_verano.jpg","falda_verano_1.jpg,falda_verano_2.jpg"
Chaleco Acolchado,"Chaleco acolchado para mayor calidez en invierno",59.99,60,"Negro,Verde,Azul","M,L,XL","Ropa","chaleco_acolchado.jpg","chaleco_acolchado_1.jpg,chaleco_acolchado_2.jpg"
Blusa de Seda,"Blusa elegante de seda para ocasiones especiales",49.99,70,"Blanco,Negro,Rojo","S,M,L","Ropa","blusa_seda.jpg","blusa_seda_1.jpg,blusa_seda_2.jpg"
